#SHAMAKHAD
4539 = 	"Aotuchi"
4541 = 	"Dousuba"
4538 = 	"Konzunu"
4533 = 	"Jazougeka"
4534 = 	"Hetsujikan"
4467 = 	"Nozanizaki"
4466 = 	"Sezesokiei"
4630 = 	"Nozanekyun"
4460 = 	"Horagyan"
4510 = 	"Yutogyan"
4397 = 	"Hosekagyan"
4465 = 	"Tekusanizaki"
4509 = 	"Zyusugeki"
4474 = 	"Dadaronpi"
4633 = 	"Siri"
4546 = 	"Humahitenpi"
4462 = 	"Kakazorutuchi"
4453 = 	"Takironinun"
4456 = 	"Ekezumi"
4550 = 	"Nenogari"
4459 = 	"Denshusokiei"
4458 = 	"Ekekan"
4454 = 	"Sakasokiei"
4520 = 	"Morasakenyun"
4463 = 	"Ikanizaki"
4455 = 	"Sakanunte"
4457 = 	"Satiyanunte"
4475 = 	"Unanubikya"
4468 = 	"Antenokegyu"
4464 = 	"Tekusaneka"
4476 = 	"Izakipiha"
4515 = 	"Bekenson"
4514 = 	"Tereshinuro"
4531 = 	"Kyekebu"
4518 = 	"Gouhyuninun"
4519 = 	"Bekegyan"
4532 = 	"Sekatanugyan"
4535 = 	"Aomechi"
4540 = 	"Nuntekonen"
4536 = 	"Ranbekonen"
4549 = 	"Hetonenyun"
4537 = 	"Ganakonen"
4530 = 	"Bekezaki"
4529 = 	"Ikanuro"
4517 = 	"Unanyun"
4516 = 	"Hetontseho"
4522 = 	"Izakinubikya"
4521 = 	"Konenagyan"
4631 = 	"Deryununte"
4528 = 	"Hitangoseze"
4526 = 	"Ninanike"
4629 = 	"Deryuzunu"
4525 = 	"Antekebu"
4513 = 	"Tekazekyage"
4507 = 	"Tekazanson"
4545 = 	"Kezeyike"
4523 = 	"Urukosuba"
4524 = 	"Yukenuro"
4542 = 	"Kabanyun"
4543 = 	"Kyageninan"
4640 = 	"Onikoukyun"
4639 = 	"Kyerikan"
4635 = 	"Deryusuba"
4632 = 	"Kuzeribuza	"
4478 = 	"Aranbe"
4642 = 	"Onituchi"
4638 = 	"Kyerike "
4634 = 	"Rinonunpi"
4637 = 	"Nokegyopan"
4636 = 	"Nutenosun"
4627 = 	"Shasuba"
4628 = 	"Urukopan"
4624 = 	"Neyeropan"

#RHAKADESH
4451 = 	"Seiyunosun"
4448 = 	"Heyokunugyan"
4449 = 	"Sakanugyan"
4445 = 	"Chakasuba"
4450 = 	"Tuiranbe"
4452 = 	"Zurunokegyu"
4446 = 	"Gozudituchi"
4548 = 	"Sekatabiken"
4447 = 	"Donasun"
4444 = 	"Herarohonan"
4443 = 	"Oirosuba"
4441 = 	"Nusonosun"
4442 = 	"Tuisekata"
4437 = 	"Higetou"
4440 = 	"Douhonyanri"
4439 = 	"Tuikenubuza"
4438 = 	"Hyasunpi"
4373 = 	"Hyasunson"
4431 = 	"Hakenurega"
4433 = 	"Nusonenyun"
4432 = 	"Konekuki"
4435 = 	"Ronkyahyou"
4436 = 	"Memogehyan"
4434 = 	"Geyubuikyo"
4430 = 	"Memogouhyu"
4427 = 	"Memoranbe"
4401 = 	"Sezemeka"
